,Book Name,Author Name,Book Price(In Rs)
0,A Thing Beyond Forever, Novoneel Chakraborty ,123
1,The Blue Umbrella, Ruskin Bond ,76
2,Life is What You Make It, Preeti Shenoy ,120
3,A Girl to Remember, Ajay K Pandey ,185
4,"Recommended article
Written by Hindustan Times | Onsite Associates Program
Top picks for readers seeking thriller genre
Jan 17, 2020 - 4 Recommendations
Mystery and thriller genre comes with various plot twists until you reach the end page of the book. That is what keeps the reader's attention straight into the story. If you are looking for exactly the kind of genre that can blow off your mind, then you are at the right place. Fictional books have their separate fan-base. If you are someone who wants to read with curiosity that stays till the last page, then thriller and mystery genre is your thing. Whether you read continuously or put bookmarks for the next read, it surely will take you…
Read full article
International award receiver
The Vault of Vishnu
The Vault of Vishnu",,299
5,The Monk Who Sold His Ferrari, Robin Sharma ,161
6,The Subtle Art of Not Giving a F*ck-19 Jan 2017, Mark Manson ,250
7,"Sponsored
The Prophet", Kahlil Gibran ,99
8,"Wake Up, Life is Calling", Preeti Shenoy ,189
9,One Indian Girl, Chetan Bhagat ,125
10,Her Last Wish, Ajay K. Pandey ,166
11,The Complete Novels of Sherlock Holmes, Arthur Conan Doyle ,125
12,The Theory of Everything, Stephen Hawking ,148
13,The Power of your Subconscious Mind, Joseph Murphy ,119
14,You are the Best Wife: A True Love Story, Ajay K Pandey ,114
15,Something I Never Told You (City Plans), Shravya Bhinder ,220
16,Be My Perfect Ending, Arpit Vageria ,136
17,The Power Of Influence, Yoritomo-Tashi and Arthur R. Pell ,119
18,The Complete Novels of Sherlock Holmes, Sir Arthur Conan Doyle ,125
19,Wuthering Heights, Emily Brontë ,99
20,Think and Grow Rich, Napoleon Hill ,125
21,Great Expectations, Charles Dickens ,149
22,The Girl on the Train: Film tie-in, Paula Hawkins ,130
23,You are My Reason to Smile, Arpit Vageria ,0
24,It Doesn't Hurt To Be Nice: Rediscover Life with a Pinch of Salt and Humour, Amisha Sethi ,129
25,The Power of A Positive Attitude: Your Road To Success, Roger Fritz and Ph.D. Edited by Arthur R. Pell ,149
26,The Immortals of Meluha (Shiva Trilogy), Amish ,250
27,Parineeta (Hindi), Saratchandra Chattopadhyay ,149
28,I Still Think about You, Arpit Vageria ,136
29,Pratigya (Hindi), Munshi Premchand ,119
30,"Wake Up, Life is Calling", Preeti Shenoy ,189
31,Wish I Could Tell You, Durjoy Datta ,199
